Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia;Peru;México;República Dominicana;Sérvia;Colômbia;Argentina;Emirados Arabes;Panama;Argéria;Singapura;Croácia;Catar;Ucrânia;Eslovenia;Hungria;Estônia;Iraque;Nova Zelândia;Moldávia;Marrocos;Egito;Bielorrússia;Cazaquistão;Kuwait;Bahrein;Bangladesh
0;61;62;104;84;57;79;548;51;52;56;51;82;50;55;56;94;59;92;54;52;50;98;91;59;61;58;51;90;61;53;68;50;89;86;59;52;86;51;59;73;56;50;86;53;72;55;54;56;74;55;54;50;57;262;73;57;50;79;54;52;66;63;55;51;53;56;52;51
1;95;155;204;120;100;130;643;51;77;90;86;128;109;79;87;101;59;264;64;55;50;192;94;66;61;111;59;129;74;136;103;50;123;103;63;64;103;62;59;73;62;50;117;82;112;65;65;68;74;69;60;58;65;262;73;89;58;115;60;102;80;77;59;51;60;56;55;54
2;139;229;433;165;130;159;920;57;98;114;116;188;169;104;108;161;112;444;77;60;83;359;141;74;83;199;77;129;155;236;119;50;131;103;90;111;103;62;155;89;73;58;145;93;202;83;93;79;85;86;74;67;81;320;97;141;73;171;60;102;94;96;60;69;62;56;60;56
3;245;322;602;222;191;196;1406;58;121;214;164;265;200;131;147;203;169;617;79;63;93;670;189;84;109;367;140;169;201;299;177;53;158;118;114;140;118;116;225;99;82;69;234;118;245;103;102;97;85;109;87;72;105;337;145;181;85;205;71;155;109;115;67;76;72;58;85;61
4;388;453;833;259;204;262;2075;60;200;268;207;321;239;182;176;248;245;804;108;76;99;1236;253;94;131;506;203;223;238;454;238;59;184;171;147;142;171;150;244;99;102;85;234;164;312;135;128;128;85;137;90;75;128;401;196;219;103;225;71;205;125;143;80;76;81;58;85;70
5;593;655;977;400;288;482;2877;68;234;337;274;382;267;246;205;355;331;836;117;91;117;1529;298;105;161;789;335;292;238;501;251;70;260;171;199;187;171;202;277;190;113;103;318;203;392;171;196;158;98;200;139;77;206;439;310;253;131;258;71;283;149;170;109;81;111;61;95;88
6;978;888;1261;500;380;670;5509;74;291;374;322;503;314;302;400;500;448;875;193;107;129;1872;396;122;193;981;484;557;434;730;355;75;277;274;253;202;274;240;321;228;119;134;363;251;488;222;231;266;98;313;201;81;254;439;356;275;167;267;101;368;177;225;110;81;150;64;110;123
7;1501;1128;1766;673;656;799;6087;98;428;491;384;503;314;504;598;599;448;933;198;128;149;2433;464;147;251;1082;670;683;537;776;425;82;308;344;306;217;344;274;336;331;142;156;395;316;581;249;277;301;98;345;230;84;315;452;475;275;187;283;110;451;199;275;150;86;228;64;195;164
8;2336;1694;2337;1073;957;1040;8141;118;621;652;459;806;559;655;702;814;785;1025;252;128;149;3629;694;159;255;1173;798;785;632;875;536;114;367;392;367;230;392;402;400;331;156;171;416;367;719;303;378;387;113;345;264;84;382;460;548;286;226;306;116;514;231;345;196;86;284;69;195;218
9;2922;2036;3150;1695;1134;1176;9802;149;931;652;459;962;689;860;996;961;1020;1116;415;200;197;5698;833;170;337;1403;875;906;746;972;634;147;433;511;438;307;511;554;450;387;194;180;480;405;859;384;470;387;140;443;302;85;442;470;645;341;261;326;124;589;263;402;196;94;302;72;195;330
