Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Pior Caso;Melhor Caso;Otimista;Médio;Pessimista;Casos Confirmados;Confirmados Secretarias
0;234;234;234;;;;234;234;234;234;234;234;234;234;
1;291;291;291;;;;291;291;291;291;291;291;291;291;350
2;428;428;428;;;;428;428;428;428;428;428;428;428;529
3;621;621;621;;;;621;621;621;621;621;621;621;621;647
4;777;746;837;;;;766;784;837;746;766;777;784;;
5;934;917;993;;;;909;1142;1142;909;917;934;993;;
6;1262;1132;1152;;;;1046;1379;1379;1046;1132;1152;1262;;
7;1548;1414;1378;;;;1188;2116;2116;1188;1378;1414;1548;;
8;1745;1700;1494;;;;1348;2726;2726;1348;1494;1700;1745;;
9;1904;2157;1618;;;;1491;3068;3068;1491;1618;1904;2157;;
10;2138;2704;1752;;;;1625;5047;5047;1625;1752;2138;2704;;
11;2393;3362;1871;;;;1756;6742;6742;1756;1871;2393;3362;;
12;2678;3721;1944;;;;1863;8752;8752;1863;1944;2678;3721;;
13;3021;4568;1987;;;;1956;11467;11467;1956;1987;3021;4568;;
14;3384;4568;1996;;;;2038;14351;14351;1996;2038;3384;4568;;
15;3705;6474;2061;;;;2113;18414;18414;2061;2113;3705;6474;;
16;3985;7756;2091;;;;2185;24377;24377;2091;2185;3985;7756;;
17;4298;9072;2120;;;;2242;33792;33792;2120;2242;4298;9072;;
18;4615;10257;2149;;;;2292;40975;40975;2149;2292;4615;10257;;
19;4893;11550;2169;;;;2333;71978;71978;2169;2333;4893;11550;;
